,date,geartype,hours,vesselIDs,iso3,label
410,2018-01,tuna_purse_seines,8796.636111,85,FSM,Micronesia
411,2018-02,drifting_longlines,16814.72417,47,FSM,Micronesia
412,2018-02,fishing,16.19305556,1,FSM,Micronesia
413,2018-02,pole_and_line,37.41277778,2,FSM,Micronesia
414,2018-02,tuna_purse_seines,5765.502778,80,FSM,Micronesia
415,2018-03,drifting_longlines,18699.43056,56,FSM,Micronesia
416,2018-03,pole_and_line,542.5161111,7,FSM,Micronesia
417,2018-03,tuna_purse_seines,2349.711111,58,FSM,Micronesia
418,2018-04,drifting_longlines,16594.30417,55,FSM,Micronesia
419,2018-04,fishing,213.8238889,2,FSM,Micronesia
420,2018-04,pole_and_line,205.8861111,5,FSM,Micronesia
421,2018-04,tuna_purse_seines,3720.195,65,FSM,Micronesia
422,2018-05,drifting_longlines,17734.29806,57,FSM,Micronesia
423,2018-05,fishing,77.39222222,1,FSM,Micronesia
424,2018-05,tuna_purse_seines,6859.433611,106,FSM,Micronesia
425,2018-06,drifting_longlines,15900.55472,46,FSM,Micronesia
426,2018-06,tuna_purse_seines,9354.244444,116,FSM,Micronesia
427,2018-07,drifting_longlines,17888.54889,45,FSM,Micronesia
428,2018-07,fishing,158.5708333,2,FSM,Micronesia
429,2018-07,tuna_purse_seines,6735.211667,111,FSM,Micronesia
430,2018-08,drifting_longlines,16905.15056,55,FSM,Micronesia
431,2018-08,fishing,66.20388889,1,FSM,Micronesia
432,2018-08,tuna_purse_seines,3686.764722,67,FSM,Micronesia
433,2018-09,drifting_longlines,14079.34528,60,FSM,Micronesia
434,2018-09,fishing,272.9169444,3,FSM,Micronesia
435,2018-09,tuna_purse_seines,3686.446111,61,FSM,Micronesia
436,2018-10,drifting_longlines,17019.24389,59,FSM,Micronesia
437,2018-10,fishing,265.9627778,2,FSM,Micronesia
438,2018-10,tuna_purse_seines,3301.022778,58,FSM,Micronesia
439,2018-11,drifting_longlines,17231.81833,54,FSM,Micronesia
